Line,Env,Yield,ASI,PH
CKDHL0002,EBU,6.65,1.4,248
CKDHL0003,EBU,6.1,1.7,245
CKDHL0004,EBU,5.07,1.6,239
CKDHL0005,EBU,6.55,2.1,231
CKDHL0007,EBU,6.82,2,228
CKDHL0008,EBU,6.88,2.7,226
CKDHL0011,EBU,6.34,2,246
CKDHL0013,EBU,7.09,1.7,239
CKDHL0014,EBU,5.28,2,242
CKDHL0015,EBU,6.07,1.9,229
CKDHL0016,EBU,7.21,2,232
CKDHL0017,EBU,6.83,2.3,225
CKDHL0018,EBU,7.78,2.3,243
CKDHL0019,EBU,6.18,1.3,239
CKDHL0020,EBU,6.64,1.3,243
CKDHL0021,EBU,8.59,2.7,237
CKDHL0022,EBU,8.29,2,238
CKDHL0023,EBU,7.33,1.7,237
CKDHL0024,EBU,5.26,1.6,248
CKDHL0027,EBU,6.11,1.4,239
CKDHL0028,EBU,7.35,1.7,239
CKDHL0029,EBU,6.8,2,239
CKDHL0030,EBU,5.72,2,236
CKDHL0031,EBU,6.94,2.1,232
CKDHL0032,EBU,6.62,2,239
CKDHL0034,EBU,5.55,1.9,238
CKDHL0035,EBU,7.52,2.3,233
CKDHL0037,EBU,6.12,1.7,242
CKDHL0038,EBU,6.14,1.6,247
CKDHL0039,EBU,6.85,1.3,239
CKDHL0040,EBU,8.64,1.8,243
CKDHL0041,EBU,6.25,2,244
CKDHL0042,EBU,6.37,2.3,238
CKDHL0043,EBU,7.27,3,232
CKDHL0044,EBU,6.08,1,248
CKDHL0045,EBU,6.51,-0.3,252
CKDHL0046,EBU,5.24,3,237
CKDHL0047,EBU,5.79,1.3,245
CKDHL0049,EBU,4.72,2.3,252
CKDHL0050,EBU,4.98,3.1,239
CKDHL0051,EBU,4.22,1.7,227
CKDHL0052,EBU,5.88,1.7,222
CKDHL0053,EBU,6.4,2.6,240
CKDHL0054,EBU,6.97,3,238
CKDHL0055,EBU,5.64,1.7,234
CKDHL0056,EBU,6.75,1.3,230
CKDHL0058,EBU,7.53,2.3,244
CKDHL0059,EBU,6.08,2.6,235
CKDHL0060,EBU,7.07,1.4,242
CKDHL0061,EBU,5.39,2.1,241
CKDHL0062,EBU,6.36,1,245
CKDHL0063,EBU,8.62,2.3,250
CKDHL0064,EBU,6.78,2.3,238
CKDHL0065,EBU,8.09,2.7,234
CKDHL0066,EBU,8.1,2.3,237
CKDHL0067,EBU,7.52,1.6,241
CKDHL0068,EBU,7.27,1.7,237
CKDHL0069,EBU,5.16,1,248
CKDHL0070,EBU,6.36,2.3,243
CKDHL0071,EBU,6.38,1.6,246
CKDHL0072,EBU,5.77,1.7,227
CKDHL0073,EBU,7.03,2,220
CKDHL0076,EBU,7.23,3.1,241
CKDHL0078,EBU,6.8,2,247
CKDHL0079,EBU,8.18,0.3,239
CKDHL0080,EBU,7.1,1.7,247
CKDHL0081,EBU,7.49,0.7,232
CKDHL0082,EBU,5.87,2,226
CKDHL0084,EBU,6.98,0.7,219
CKDHL0085,EBU,7.85,1.3,232
CKDHL0086,EBU,6.98,1.1,232
CKDHL0087,EBU,5.25,1.3,219
CKDHL0088,EBU,6.48,1.8,231
CKDHL0089,EBU,7.63,1,237
CKDHL0092,EBU,6.75,1,228
CKDHL0094,EBU,7.57,1.4,229
CKDHL0095,EBU,7.81,1,247
CKDHL0096,EBU,6.85,1.6,228
CKDHL0097,EBU,5.94,2.4,225
CKDHL0098,EBU,7.28,1.4,226
CKDHL0099,EBU,7.05,0.7,228
CKDHL0100,EBU,6.72,1,240
CKDHL0101,EBU,6.13,1.4,238
CKDHL0102,EBU,6.76,2.1,234
CKDHL0103,EBU,7.46,2,246
CKDHL0104,EBU,6.81,1,244
CKDHL0105,EBU,6.18,1.6,215
CKDHL0106,EBU,7.88,1.3,236
CKDHL0108,EBU,7.47,2.4,237
CKDHL0109,EBU,7.75,0.4,243
CKDHL0110,EBU,7.55,1.3,242
CKDHL0112,EBU,6.13,1.3,214
CKDHL0114,EBU,6.48,2.3,228
CKDHL0115,EBU,6.04,1.3,226
CKDHL0116,EBU,7.59,2.4,248
CKDHL0117,EBU,5.03,1,212
CKDHL0119,EBU,7.89,1.1,240
CKDHL0120,EBU,6.82,2.6,227
CKDHL0121,EBU,7.68,1,229
CKDHL0122,EBU,7.54,1.3,239
CKDHL0123,EBU,7.66,1.3,241
CKDHL0126,EBU,5.74,0.7,235
CKDHL0127,EBU,6.12,1.3,221
CKDHL0128,EBU,6.23,1.7,222
CKDHL0129,EBU,6.58,1,232
CKDHL0130,EBU,7.45,0.7,228
CKDHL0132,EBU,7.14,1.7,235
CKDHL0133,EBU,3.96,1.7,217
CKDHL0134,EBU,7.23,1,235
CKDHL0135,EBU,7.58,2,234
CKDHL0136,EBU,7.04,1.3,221
CKDHL0137,EBU,5.29,1,222
CKDHL0138,EBU,6.37,0.7,240
CKDHL0140,EBU,6.43,1,229
CKDHL0141,EBU,6.75,2,221
CKDHL0142,EBU,6.29,2,228
CKDHL0143,EBU,6.43,1.6,238
CKDHL0146,EBU,4.3,0.7,228
CKDHL0147,EBU,6.45,1.4,217
CKDHL0148,EBU,6.59,1.7,222
CKDHL0150,EBU,6.78,2,218
CKDHL0151,EBU,5.86,0.6,216
CKDHL0152,EBU,7.13,1.3,238
CKDHL0153,EBU,7.57,1.3,246
CKDHL0154,EBU,5.27,1.7,211
CKDHL0155,EBU,5.39,1.4,225
CKDHL0157,EBU,6.03,1,230
CKDHL0158,EBU,6.4,0.7,222
CKDHL0160,EBU,7.07,1.3,238
CKDHL0161,EBU,6.66,3,229
CKDHL0162,EBU,4.78,2,224
CKDHL0163,EBU,7.07,1,237
CKDHL0164,EBU,5.76,1.7,232
CKDHL0166,EBU,5.89,2,237
CKDHL0167,EBU,7.12,0.6,226
CKDHL0168,EBU,6.4,1.7,226
CKDHL0170,EBU,7.51,0.3,238
CKDHL0171,EBU,7.74,0.3,230
CKDHL0172,EBU,6.82,1.3,242
CKDHL0173,EBU,6.42,1.3,233
CKDHL0176,EBU,6.38,2.1,215
CKDHL0177,EBU,7.42,2,238
CKDHL0178,EBU,6.69,1.3,220
CKDHL0179,EBU,6.71,1,221
CKDHL0180,EBU,5.5,2,233
CKDHL0181,EBU,6.45,2,226
CKDHL0182,EBU,6.57,2.7,208
CKDHL0183,EBU,6.98,2.7,221
CKDHL0184,EBU,5.78,1.3,214
CKDHL0186,EBU,7.74,2,227
CKDHL0187,EBU,5.76,2.7,217
CKDHL0189,EBU,6.71,0.7,215
CKDHL0190,EBU,5.67,1.3,222
CKDHL0192,EBU,5,3,223
CKDHL0193,EBU,6.8,1.7,223
CKDHL0194,EBU,6.01,1.6,230
CKDHL0195,EBU,6.13,1.3,210
CKDHL0196,EBU,6.63,1.7,216
CKDHL0197,EBU,6.72,2,220
CKDHL0198,EBU,7.62,2,225
CKDHL0199,EBU,7.5,1.7,224
CKDHL0200,EBU,6.64,1.3,210
CKDHL0201,EBU,4.86,0.7,225
CKDHL0202,EBU,6.64,1.4,239
CKDHL0203,EBU,6.41,1.7,210
CKDHL0204,EBU,7.34,1.7,224
CKDHL0206,EBU,6.24,2.1,221
CKDHL0208,EBU,5.78,2.4,218
CKDHL0209,EBU,6.04,2,226
CKDHL0211,EBU,8.19,0.7,231
CKDHL0212,EBU,5.63,1.7,215
CKDHL0214,EBU,6.13,4.4,234
CKDHL0216,EBU,8.64,1.3,214
CKDHL0217,EBU,8,1,223
CKDHL0218,EBU,6.94,2.7,228
CKDHL0219,EBU,7.67,2.6,224
CKDHL0221,EBU,5.55,2,232
CKDHL0225,EBU,7.01,1.4,220
CKDHL0226,EBU,5.63,2,225
CKDHL0227,EBU,5.62,1.4,219
CKDHL0228,EBU,8.62,1.7,245
CKDHL0229,EBU,5.72,4.3,231
CKDHL0231,EBU,6.48,2.7,210
CKDHL0232,EBU,3.92,2.7,207
CKDHL0234,EBU,5.93,2.4,223
CKDHL0235,EBU,6.11,2.3,225
