Line,Env,Daysto50Flower,DaystoMaturity,AvePlantHeight,Biomass,PlantStand
ICCC37,1,44.66666667,102.6666667,35.13333333,188.3333333,10.66666667
ICCC42,1,46.66666667,100.3333333,34.66666667,201,11
ICCV00101,1,40.33333333,102.3333333,32.86666667,237.6666667,11.66666667
ICCV00102,1,45.66666667,103.6666667,31.43333333,263,12
ICCV00103,1,34,102,38.33333333,162.3333333,12
ICCV00105,1,35,101,32.23333333,153.6666667,11.66666667
ICCV00106,1,40.66666667,106.3333333,34.66666667,234.6666667,10.66666667
ICCV00107,1,40.66666667,101,30.8,122.6666667,10
ICCV00108,1,39,102,38,283,11.66666667
ICCV00109,1,37.33333333,103.6666667,40.53333333,296,12.33333333
ICCV00110,1,40,103,40.13333333,310,11
ICCV00201,1,48,104.6666667,30,174,11
ICCV00202,1,35.33333333,104,29.43333333,135.6666667,12
ICCV00301,1,33,101.3333333,41.06666667,178.6666667,10.66666667
ICCV00302,1,34.66666667,104,35.9,247.6666667,11
ICCV00303,1,32.66666667,101.6666667,34.26666667,162.6666667,11.66666667
ICCV00304,1,32.66666667,101.6666667,41.93333333,235.6666667,10.66666667
ICCV00305,1,35.33333333,104.3333333,40.23333333,254.3333333,12
ICCV00401,1,44.33333333,102.3333333,41.76666667,182,10
ICCV00402,1,40.66666667,107,39.56666667,235,11.66666667
ICCV01101,1,41.33333333,105,40.66666667,226.3333333,10.66666667
ICCV01102,1,42.33333333,103.3333333,53.1,363.3333333,12.33333333
ICCV01103,1,45.33333333,106.6666667,59.8,320.6666667,12.66666667
ICCV01104,1,47,104,39.7,269.6666667,11.66666667
ICCV01301,1,36.66666667,103.6666667,47.96666667,171,11
ICCV01302,1,33.33333333,102.3333333,38.33333333,245.3333333,11.33333333
ICCV01303,1,35,103,43.33333333,136.3333333,11.66666667
ICCV01304,1,33.33333333,103,34.43333333,153.6666667,11
ICCV01305,1,34,99,35.8,179.3333333,10.66666667
ICCV01306,1,33,102,37,179.3333333,11.66666667
ICCV01307,1,33.66666667,102.3333333,43.1,182.6666667,11.66666667
ICCV01308,1,34,102,40.1,225,11
ICCV01309,1,32.66666667,101,42.76666667,251.3333333,11.66666667
ICCV01310,1,35.33333333,104.6666667,47.66666667,174,11.33333333
ICCV01311,1,33.33333333,103.3333333,42.46666667,274.3333333,11.66666667
ICCV03101,1,42.66666667,103,29.2,225,11.33333333
ICCV03102,1,40,101,40.66666667,262,11
ICCV03103,1,37.66666667,102,33.1,233,12
ICCV03104,1,43.33333333,103.6666667,52.66666667,460.3333333,12
ICCV03105,1,42.66666667,106,46.43333333,235.6666667,12
ICCV03106,1,44,103,50.8,269,11.33333333
ICCV03107,1,42.33333333,103,32.63333333,348,12.33333333
ICCV03108,1,42.33333333,107,53.9,240.3333333,12
ICCV03109,1,43.66666667,99.33333333,36.13333333,245.6666667,11
ICCV03110,1,41.33333333,104,35.66666667,175.3333333,12.66666667
ICCV03111,1,40,100.6666667,36,336.6666667,11.33333333
ICCV03112,1,43.33333333,102.6666667,40.03333333,210.6666667,12
ICCV03201,1,43.66666667,105.6666667,48.1,346,11.66666667
ICCV03202,1,45,103.6666667,33.7,421.3333333,12
ICCV03203,1,45.33333333,104,37.03333333,313,11.66666667
ICCV03204,1,41.66666667,105.6666667,52.56666667,226.6666667,11.66666667
ICCV03205,1,44,102.6666667,48.8,274.3333333,11.66666667
ICCV03206,1,41.66666667,105.6666667,33.23333333,147,11.33333333
ICCV03207,1,47.66666667,103,32,334.6666667,11.33333333
