Line,Env,DTHD,DTMT,GY,Height
GID7460296,Bed5IR,73,116,6.032739752,100
GID7460318,Bed5IR,81,120,6.399994605,98
GID7460639,Bed5IR,70,116,6.443520555,97
GID7460796,Bed5IR,77,115,6.033409382,99
GID7460821,Bed5IR,69,114,6.258256255,101
GID7460824,Bed5IR,79,121,5.775081008,92
GID7460951,Bed5IR,76,116,6.714348688,98
GID7461071,Bed5IR,76,118,6.309817765,91
GID7461098,Bed5IR,77,115,6.923868475,97
GID7461103,Bed5IR,68,113,5.548969278,98
GID7461113,Bed5IR,67,113,6.665316892,96
GID7461202,Bed5IR,68,113,6.493668402,97
GID7461204,Bed5IR,77,118,7.026693882,97
GID7461383,Bed5IR,75,115,6.731387052,104
GID7461385,Bed5IR,76,115,7.040915159,106
GID7461428,Bed5IR,75,116,6.582888239,102
GID7461477,Bed5IR,69,113,6.355214039,103
GID7461607,Bed5IR,80,118,6.539957516,96
GID7461686,Bed5IR,70,115,6.154101829,103
GID7461788,Bed5IR,67,112,6.553126906,102
GID7461790,Bed5IR,67,110,5.863928829,90
GID7461841,Bed5IR,66,109,6.120322716,102
GID7461850,Bed5IR,66,109,6.058642353,106
GID7461855,Bed5IR,65,109,5.845848819,104
GID7461901,Bed5IR,80,118,6.969934379,107
GID7461908,Bed5IR,68,114,5.825611113,104
GID7461942,Bed5IR,70,113,5.805224599,100
GID7462007,Bed5IR,67,110,6.029401843,95
GID7462030,Bed5IR,78,118,6.061246469,100
GID7462066,Bed5IR,66,106,5.433207933,97
GID7462096,Bed5IR,77,112,5.854851623,105
GID7462103,Bed5IR,66,108,5.064762626,98
GID7462104,Bed5IR,65,106,5.287079786,100
GID7462108,Bed5IR,65,106,5.355977273,97
GID7462109,Bed5IR,65,106,5.489159239,98
GID7462116,Bed5IR,76,118,5.995027503,96
GID7462121,Bed5IR,67,109,5.510785483,107
GID7462124,Bed5IR,66,110,6.306752343,100
GID7462209,Bed5IR,80,117,6.58881538,108
GID7462211,Bed5IR,79,118,6.3615876,98
GID7462232,Bed5IR,67,114,6.154746333,95
GID7462243,Bed5IR,84,126,6.771118432,106
GID7462246,Bed5IR,79,117,6.362346518,98
GID7462271,Bed5IR,68,113,6.023067318,107
GID7462298,Bed5IR,85,125,6.386289507,107
GID7462301,Bed5IR,76,119,6.443133653,103
GID7462304,Bed5IR,83,121,6.784719357,102
GID7462344,Bed5IR,65,112,6.4196222,100
GID7462382,Bed5IR,78,118,6.63635911,104
GID7462383,Bed5IR,82,120,6.70711668,97
GID7462388,Bed5IR,76,116,6.58993143,107
GID7462403,Bed5IR,82,125,6.933094488,96
GID7462406,Bed5IR,83,126,6.539426452,100
GID7462461,Bed5IR,81,124,5.949928842,90
GID7462462,Bed5IR,75,114,6.344564122,98
GID7462653,Bed5IR,79,117,6.953481002,95
GID7462655,Bed5IR,76,117,7.120814098,96
GID7462656,Bed5IR,69,114,6.751847968,97
GID7462660,Bed5IR,77,117,6.981828672,94
GID7462714,Bed5IR,75,116,6.415876627,97
GID7462717,Bed5IR,79,125,6.441099357,98
GID7462755,Bed5IR,77,116,6.87152264,100
GID7624667,Bed5IR,71,117,5.975445278,108
GID7624680,Bed5IR,78,118,6.610254518,105
GID7624681,Bed5IR,68,112,6.217553725,102
GID7624686,Bed5IR,77,115,6.476551728,106
GID7624687,Bed5IR,71,116,6.796932481,109
GID7624688,Bed5IR,69,109,5.889435025,110
GID7624690,Bed5IR,81,120,6.770668105,115
GID7624695,Bed5IR,78,119,7.365969175,107
GID7624696,Bed5IR,76,122,6.754894598,105
GID7624701,Bed5IR,82,120,6.685253078,106
GID7624708,Bed5IR,76,117,6.479899878,105
GID7624709,Bed5IR,80,123,6.058851415,102
GID7624712,Bed5IR,76,119,6.582130058,112
GID7624727,Bed5IR,71,113,6.542770695,103
GID7624728,Bed5IR,78,117,6.819253481,101
GID7624733,Bed5IR,82,124,7.143205595,105
GID7624738,Bed5IR,89,126,6.792914701,100
GID7624745,Bed5IR,88,128,6.918284318,104
GID7624749,Bed5IR,79,117,6.811589938,106
GID7624753,Bed5IR,71,114,6.844104195,116
GID7624770,Bed5IR,65,107,5.496362215,100
GID7624785,Bed5IR,79,118,7.196942418,104
GID7624831,Bed5IR,79,119,7.226182928,102
GID7624838,Bed5IR,77,119,7.309589065,103
GID7624855,Bed5IR,79,123,6.754391392,108
GID7624880,Bed5IR,82,125,6.303879208,100
GID7624883,Bed5IR,81,125,6.824776945,102
GID7624890,Bed5IR,79,121,5.837147098,103
GID7624891,Bed5IR,81,121,6.864136308,105
GID7624895,Bed5IR,82,119,6.482372805,102
GID7624898,Bed5IR,65,106,6.036622435,96
GID7624964,Bed5IR,79,116,6.550823872,108
GID7624976,Bed5IR,76,112,5.837072695,108
GID7624986,Bed5IR,76,113,6.541002632,105
GID7625005,Bed5IR,76,116,6.378208138,109
GID7625010,Bed5IR,92,132,6.314518885,111
GID7625030,Bed5IR,83,126,6.681773738,101
GID7625034,Bed5IR,82,125,6.776265972,106
GID7625036,Bed5IR,69,108,5.802177532,108
GID7625048,Bed5IR,68,112,6.650970758,103
GID7625055,Bed5IR,78,113,6.298894185,102
GID7625104,Bed5IR,69,113,6.550898275,98
GID7625106,Bed5IR,76,114,6.399115475,91
GID7625107,Bed5IR,80,114,6.099195638,92
GID7625112,Bed5IR,79,114,6.882588335,108
GID7625120,Bed5IR,71,113,6.719496228,100
GID7625125,Bed5IR,71,113,6.542286822,96
GID7625126,Bed5IR,76,112,5.617081372,105
GID7625129,Bed5IR,75,108,5.735010656,93
GID7625141,Bed5IR,79,117,6.327930819,100
GID7625143,Bed5IR,78,116,6.350177416,101
GID7625147,Bed5IR,83,125,7.681178646,102
GID7625149,Bed5IR,69,112,6.598684549,98
GID7625157,Bed5IR,70,111,6.646228279,91
GID7625159,Bed5IR,79,114,6.037683416,103
GID7625161,Bed5IR,80,117,7.085728769,102
GID7625162,Bed5IR,84,120,6.841685836,96
GID7625163,Bed5IR,72,110,6.837593652,98
GID7625179,Bed5IR,68,108,5.703686852,97
GID7625211,Bed5IR,70,110,6.218334709,98
GID7625240,Bed5IR,76,112,6.568551199,104
GID7625257,Bed5IR,67,108,6.469892379,86
GID7625264,Bed5IR,69,111,6.810138822,107
GID7625266,Bed5IR,81,120,6.615127686,104
GID7625273,Bed5IR,77,116,6.742580596,106
GID7625274,Bed5IR,76,114,6.323392216,96
GID7625276,Bed5IR,76,113,6.659620879,98
GID7625281,Bed5IR,72,114,6.706420576,100
GID7625285,Bed5IR,76,115,6.708763152,102
GID7625306,Bed5IR,69,109,6.224695065,99
GID7625351,Bed5IR,80,115,6.411075415,100
GID7625358,Bed5IR,71,112,6.584435182,100
